PK;NOMBRE;DESCRIPCION-ENTIDAD;HORARIO;EQUIPAMIENTO;TRANSPORTE;DESCRIPCION;ACCESIBILIDAD;CONTENT-URL;NOMBRE-VIA;CLASE-VIAL;TIPO-NUM;NUM;PLANTA;PUERTA;ESCALERAS;ORIENTACION;LOCALIDAD;PROVINCIA;CODIGO-POSTAL;BARRIO;DISTRITO;COORDENADA-X;COORDENADA-Y;LATITUD;LONGITUD;TELEFONO;FAX;EMAIL;TIPO;
13479;Aparcamiento mixto. José Castán Tobeñas;;;;;Plazas: 205 públicas y 43 para residentes  Información sobre accesibilidad:  No tiene escaleras adaptadas No disponde ascensor No disponde de aseos accesible Plazas para minusválidos residentes: 5    Abierto 24 horas   Titularidad: Ayuntamiento de Madrid;0;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=35ce15cbed51c010VgnVCM2000000c205a0aRCRD;CAPITAN HAYA;CALLE;V;57;;;;;MADRID;MADRID;28020;CASTILLEJOS;TETUAN;441477;4479747;40.464.510.604.635.400;-3.691.646.787.512.130;915 707 612;;aeuropeos@gmail.com;/contenido/entidadesYorganismos/AparcamientosResidentes; 
6143690;Aparcamiento mixto. Marqués de Salamanca;;;;;"Plazas: 360 públicas y 70 para residentes  Información sobre accesibilidad:   No tiene escaleras adaptadas 1 ascensor en la salida a la plaza del Marqués de Salamanca 1 aseo accesible en 2&amp;ordf;  planta Plaza para minusválidos residentes: 14   Abierto 24 horas   Titularidad: Ayuntamiento de Madrid";0;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=cb5b1b2bb5b61310VgnVCM2000000c205a0aRCRD;MARQUES DE SALAMANCA;PLAZA;V;8;;;;;MADRID;MADRID;28006;LISTA;SALAMANCA;442498;4475966;40.430.467.239.810.200;-3.679.213.790.132.400;917 877 292 (grúa municipal);;aparcamientos@madridmovilidad.es;/contenido/entidadesYorganismos/AparcamientosResidentes; 
182188;Aparcamiento mixto. Miguel Yuste;;;;;Plazas: 182  públicas y 68 para residentes Abierto: 24 horas Admite Tarjeta BonoRed  Titularidad: Ayuntamiento de Madrid;0;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=1c15bdc85c01c010VgnVCM2000000c205a0aRCRD;MIGUEL YUSTE;CALLE;V;11;;;;;MADRID;MADRID;28037;SIMANCAS;SAN BLAS-CANILLEJAS;447100;4477013;40.440.205.238.797.600;-3.625.049.272.913.960;;;;/contenido/entidadesYorganismos/AparcamientosResidentes; 
13465;Aparcamiento mixto. Montalbán;;;;;Plazas:   145 Residenciales 130 Rotacionales    Abierto 24 horas    Titularidad:  Ayuntamiento de Madrid   Gestión: Empresa Municipal de Transportes (EMT) (más información);1;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=f0967339ae51c010VgnVCM2000000c205a0aRCRD;MONTALBAN;CALLE;V;4;;;;;MADRID;MADRID;28014;LOS JERONIMOS;RETIRO;441367;4474386;40.418.027.250.001.100;-3.691.123.387.515.540;;;;/contenido/entidadesYorganismos/AparcamientosResidentes; 
5517342;Aparcamiento mixto. Orense;;;;;Plazas: 128 públicas y 663 para residentes  Información sobre accesibilidad:  1 escalera adaptada No dispone de ascensor 1 aseo accesible Plaza para minusválidos residentes: 5    Abierto 24 horas   Titularidad: Ayuntamiento de Madrid  Gestión: Empresa Municipal de Transportes (EMT) (más información);0;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=eee35ed15bb95210VgnVCM2000000c205a0aRCRD;SOR ANGELA DE LA CRUZ;CALLE;V;27;;;;;MADRID;MADRID;28020;CASTILLEJOS;TETUAN;441080;4479226;40.459.735.340.258.300;-3.696.233.037.592.230;;;aparcamientos@emtmadrid.es;/contenido/entidadesYorganismos/AparcamientosResidentes; 
52114;Aparcamiento mixto. Pedro Zerolo 'antes denominado Vázquez de Mella';;;;;Plazas: 107 públicas y 261 para residentes.  Plazas motos: 6.  Información sobre accesibilidad:  No tiene escaleras adaptadas 1 ascensor con salida a la Plaza de Vazquez de Mella 1 aseo accesible Plaza para minusválidos residentes: 7    Abierto 24 horas   Titularidad: Ayuntamiento de Madrid  Gestión: Empresa Municipal de Transportes (EMT) (más información)  Teléfonos: Residentes - 91 522 50 29          Rotacional -  91 532 19 10;0;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=e499946be351c010VgnVCM2000000c205a0aRCRD;PEDRO ZEROLO;PLAZA;V;1;;;;;MADRID;MADRID;28004;JUSTICIA;CENTRO;440626;4474716;40.420.956.445.091.100;-3.699.899.832.865.300;;;aparcamientos@emtmadrid.es;/contenido/entidadesYorganismos/AparcamientosResidentes; 
33440;Aparcamiento mixto. Plaza de Oriente;;;;;Plazas: 242 públicas rotacionales (30 plazas para autobuses) y 511 para residentes Abierto 24 horas Admite Tarjeta BonoRed Este PAR está adherido a la zona de APR  Titularidad: Ayuntamiento de Madrid;0;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=7db12c798651c010VgnVCM2000000c205a0aRCRD;ORIENTE;PLAZA;V;1;;;;;MADRID;MADRID;28013;PALACIO;CENTRO;439736;4474563;40.417.632.509.561.100;-3.711.640.708.800.470;;;;/contenido/entidadesYorganismos/AparcamientosResidentes; 
13466;Aparcamiento mixto. Plaza Mayor;;;;;Plazas: 694  279 Residenciales 415 Rotacionales  Abierto 24 horas  Titularidad : Ayuntamiento de Madrid    Gálibo: 1'85 m;0;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=2b1981eb5f51c010VgnVCM2000000c205a0aRCRD;FELIPE III;CALLE;V;11;;;;;MADRID;MADRID;28012;SOL;CENTRO;440027;4474156;40.415.868.820.220.000;-3.706.895.619.414.360;;;;/contenido/entidadesYorganismos/AparcamientosResidentes; 
36271;Aparcamiento mixto. Presidente Carmona;;De lunes a domingo servicio ininterrumpido;;;Plazas: 379 públicas y 124 para residentes Abierto 24 horas  Titularidad: Ayuntamiento de Madrid  Teléfono: 91 556 62 26;0;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=8a412c798651c010VgnVCM2000000c205a0aRCRD;PRESIDENTE CARMONA;AVENIDA;V;3;;;;;MADRID;MADRID;28020;CUATRO CAMINOS;TETUAN;440965;4478549;40.453.628.461.991.300;-3.697.526.241.738.000;;;;/contenido/entidadesYorganismos/AparcamientosResidentes; 
13476;Aparcamiento mixto. Recoletos;;;;;Plazas: 102 públicas y 289 para residentes  Información sobre accesibilidad:   No tiene escaleras adaptadas 1 ascensor en la salida al Paseo de Recoletos 1 aseo accesible Plaza para minusválidos residentes: 10   Abierto 24 horas   Titularidad : Ayuntamiento de Madrid   Gestión: Empresa Municipal de Transportes (EMT) (más información);0;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=283f15cbed51c010VgnVCM2000000c205a0aRCRD;RECOLETOS;PASEO;V;4;;;;;MADRID;MADRID;28001;RECOLETOS;SALAMANCA;441297;4474666;40.420.544.692.251.000;-3.691.974.283.683.480;;;aparcamientos@emtmadrid.es;/contenido/entidadesYorganismos/AparcamientosResidentes; 
24193;Aparcamiento mixto. República Dominicana;;;;;Plazas: 203 públicas y 892 para residentes Abierto 24 horas  Titularidad: Ayuntamiento de Madrid;0;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=aabe6545f951c010VgnVCM2000000c205a0aRCRD;REPUBLICA DOMINICANA;PLAZA;V;6;;;;;MADRID;MADRID;28016;NUEVA ESPAÑA;CHAMARTIN;442641;4478909;40.458.870.374.586.200;-3.676.527.589.517.660;;;;/contenido/entidadesYorganismos/AparcamientosResidentes; 
81828;Aparcamiento mixto. Reyes Magos;;;;;Plazas: 356 públicas y 345 para residentes Abierto 24 horas  Titularidad: Ayuntamiento de Madrid;0;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=0dfec2c6e051c010VgnVCM2000000c205a0aRCRD;REYES MAGOS;PLAZA;V;14;;;;;MADRID;MADRID;28007;NIÑO JESUS;RETIRO;442622;4473340;40.408.700.746.273.400;-3.676.248.880.238.280;;;;/contenido/entidadesYorganismos/AparcamientosResidentes; 
167692;Aparcamiento mixto. San Cayetano;;;;;Plazas: 222 públicas y 261 para residentes Abierto 24 horas  Titularidad: Ayuntamiento de Madrid;0;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=a284ff632081c010VgnVCM1000000b205a0aRCRD;SAN CAYETANO;PLAZA;V;1;;;;;MADRID;MADRID;28028;GUINDALERA;SALAMANCA;443276;4476388;40.434.322.352.249.700;-3.670.079.932.237.100;;;;/contenido/entidadesYorganismos/AparcamientosResidentes; 
13515;Aparcamiento mixto. San Germán II (antes General Yagüe);;;;;Plazas: 409 públicas y 717 residentes Abierto 24 horas  Titularidad: Ayuntamiento de Madrid;0;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=ee9e15cbed51c010VgnVCM2000000c205a0aRCRD;BRASIL;AVENIDA;V;15;;;;;MADRID;MADRID;28020;CASTILLEJOS;TETUAN;441152;4478685;40.456.739.364.504.100;-3.694.067.405.537.410;;;;/contenido/entidadesYorganismos/AparcamientosResidentes; 
19053;Aparcamiento mixto. Sánchez Bustillo;;;;;Plazas: 132 públicas y 408 para residentes Abierto 24 horas  Titularidad: Ayuntamiento de Madrid;0;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=27912c798651c010VgnVCM2000000c205a0aRCRD;SANCHEZ BUSTILLO;CALLE;V;1;;;;;MADRID;MADRID;28012;EMBAJADORES;CENTRO;441114;4473405;40.409.172.052.384.700;-3.694.014.559.298.800;;;;/contenido/entidadesYorganismos/AparcamientosResidentes; 
7416748;Aparcamiento mixto. Serrano I;;;;;Plazas: 307 públicas y 831 para residentes Abierto 24 horas  Titularidad: Ayuntamiento de Madrid;0;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=bd61f94ae1d15410VgnVCM2000000c205a0aRCRD;JUAN BRAVO;CALLE;V;4;;;;;MADRID;MADRID;28006;CASTELLANA;SALAMANCA;441944;4476240;40.432.897.009.142.400;-3.685.769.778.039.010;;;;/contenido/entidadesYorganismos/AparcamientosResidentes; 
7417028;Aparcamiento mixto. Serrano II;;;;;Plazas: 379 públicas y 794 para residentes Abierto 24 horas  Titularidad: Ayuntamiento de Madrid;0;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=bc096f1c35d15410VgnVCM2000000c205a0aRCRD;JOSE ORTEGA Y GASSET;CALLE;V;1;;;;;MADRID;MADRID;28006;CASTELLANA;SALAMANCA;441729;4475986;40.430.593.792.570.700;-3.688.281.097.618.060;;;;/contenido/entidadesYorganismos/AparcamientosResidentes; 
7417052;Aparcamiento mixto. Serrano III;;;;;Plazas: 261 públicas y 725 para residentes Abierto 24 horas  Titularidad: Ayuntamiento de Madrid;0;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=9a1c6f1c35d15410VgnVCM2000000c205a0aRCRD;JORGE JUAN;CALLE;V;1;;;;;MADRID;MADRID;28001;RECOLETOS;SALAMANCA;441597;4475307;40.424.467.758.888.200;-3.689.774.706.609.390;;;;/contenido/entidadesYorganismos/AparcamientosResidentes; 
13460;Aparcamiento mixto. Sevilla;;;;;Plazas: 649 públicas rotacionales y 74 para residentes Abierto 24 horas Admite Tarjeta BonoRed   Titularidad: Ayuntamiento de Madrid;0;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=9dd67339ae51c010VgnVCM2000000c205a0aRCRD;ALCALA;CALLE;V;17;;;;;MADRID;MADRID;28014;SOL;CENTRO;440740;4474574;40.417.803.835.679.200;-3.699.808.226.107.170;915 219 281;;;/contenido/entidadesYorganismos/AparcamientosResidentes; 
13458;Aparcamiento mixto. Velázquez - Ayala;;;;;Plazas: 464 públicas y 235 para residentes Abierto 24 horas Admite Tarjeta BonoRed  Titularidad: Ayuntamiento de Madrid;0;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=8bee15cbed51c010VgnVCM2000000c205a0aRCRD;VELAZQUEZ;CALLE;V;47;;;;;MADRID;MADRID;28001;RECOLETOS;SALAMANCA;442075;4475607;40.427.203.787.185.400;-3.684.167.617.287.390;;;;/contenido/entidadesYorganismos/AparcamientosResidentes; 
13457;Aparcamiento mixto. Velázquez - Jorge Juan;;;;;Plazas: 549 públicas y 395 para residentes Abierto 24 horas Admite Tarjeta BonoRed  Titularidad: Ayuntamiento de Madrid;1;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=d11f15cbed51c010VgnVCM2000000c205a0aRCRD;VELAZQUEZ;CALLE;V;25;;;;;MADRID;MADRID;28001;RECOLETOS;SALAMANCA;442058;4475292;40.424.364.925.388.400;-3.684.339.253.399.850;;;;/contenido/entidadesYorganismos/AparcamientosResidentes; 
183607;Aparcamiento mixto. Verdaguer y García;;;;;Plazas: 83 públicas y 180 para residentes  Información sobre accesibilidad:  No tiene escaleras adaptadas 1 ascensor en la salida a la Calle Verdaguer y garcía 1 aseo accesible en la planta -1 Plaza para minusválidos residentes: 4    Abierto 24 horas   Titularidad: Ayuntamiento de Madrid;0;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=6245bdc85c01c010VgnVCM2000000c205a0aRCRD;VERDAGUER Y GARCIA;CALLE;V;1;;;;;MADRID;MADRID;28027;SAN PASCUAL;CIUDAD LINEAL;444432;4477001;40.439.922.771.440.700;-3.656.505.118.007.150;913 531 050;;;/contenido/entidadesYorganismos/AparcamientosResidentes; 
8087180;Aparcamiento para residentes del Centro Polivalente Barceló;Plazas: 554 (541 para automóviles y 13 para motocicletas)  Plazas para movilidad reducida: 10  Abierto 24 horas   Titularidad: Ayuntamiento de Madrid  Gestión: Empresa Municipal de Transportes (EMT) (más información);;;;;0;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=9826774ac3cdd410VgnVCM2000000c205a0aRCRD;BARCELO;CALLE;V;0;;;;;MADRID;MADRID;28004;JUSTICIA;CENTRO;440638;4475534;40.426.453.761.882.100;-3.701.088.525.475.720;;;;/contenido/entidadesYorganismos/AparcamientosResidentes; 
4829668;Aparcamiento para residentes.  Ginzo de Limia;;;;;Plazas: 97 Abierto 24 horas  Titularidad: Ayuntamiento de Madrid  Gestión: Empresa Municipal de Transportes (EMT) (más información);0;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=9c77780e5c0a8110VgnVCM1000000b205a0aRCRD;VALENCIA DE DON JUAN;CALLE;V;16;;;;;MADRID;MADRID;28034;LA PAZ;FUENCARRAL-EL PARDO;440664;4482211;40.486.595.722.227.500;-3.701.418.983.284.400;;;;/contenido/entidadesYorganismos/AparcamientosResidentes; 
24139;Aparcamiento para residentes.  Valderromán;;;;;Plazas: 424 Abierto 24 horas  Titularidad: Ayuntamiento de Madrid;0;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=85026545f951c010VgnVCM2000000c205a0aRCRD;VALDERROMAN;CALLE;V;24-B;;;;;MADRID;MADRID;28035;VALDEZARZA;MONCLOA-ARAVACA;438952;4480476;40.470.841.971.554.300;-3.721.438.692.875.900;;;;/contenido/entidadesYorganismos/AparcamientosResidentes; 
67711;Aparcamiento para residentes. Aguilar de Campóo;;;;;Plazas: 203 Abierto 24 horas  Titularidad: Ayuntamiento de Madrid;0;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=d60868540e41c010VgnVCM2000000c205a0aRCRD;ANTONIO MACHADO;CALLE;V;10;;;;entrada y salida por calle Antonio Machado;MADRID;MADRID;28035;VALDEZARZA;MONCLOA-ARAVACA;439091;4479744;40.464.258.000.635.700;-3.719.740.498.932.890;;;;/contenido/entidadesYorganismos/AparcamientosResidentes; 
13560;Aparcamiento para residentes. Aguilón;;;;;Plazas: 271 Abierto 24 horas  Titularidad: Ayuntamiento de Madrid;0;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=bc5215cbed51c010VgnVCM2000000c205a0aRCRD;CHOPERA;PASEO;V;27;;;;;MADRID;MADRID;28045;CHOPERA;ARGANZUELA;440641;4472102;40.395.518.764.503.300;-3.700.743.991.187.270;;;;/contenido/entidadesYorganismos/AparcamientosResidentes; 
